51.39381,7.18449,DE,45525,Hattingen,Johannisstrasse,8,Restaurant Haveli
51.41217,7.20911,DE,45527,Hattingen,Marxstrasse,41,Restaurant Oktopus-Sea
51.45503,7.24861,DE,44803,Bochum,Markstrasse,122,CAN Döner
51.44671,7.21946,DE,44795,Bochum,Waldenburger Straße,29, 
51.44671,7.21978,DE,44795,Bochum,Waldenburger Straße,29a, 
51.44640,7.21945,DE,44795,Bochum,Waldenburger Straße,31, 
51.44640,7.21978,DE,44795,Bochum,Waldenburger Straße,31a, 
51.44605,7.21926,DE,44795,Bochum,Waldenburger Straße,33, 
51.44586,7.21925,DE,44795,Bochum,Waldenburger Straße,35, 
51.49141,7.24192,DE,44791,Bochum,Castroper Straße,195,Tango La Boca
51.49206,7.24611,DE,44791,Bochum,Castroper Strasse,234,Artemis Grill
51.49889,7.25983,DE,44805,Bochum,Harpener Feld,9,Franky's Diner
51.49928,7.25695,DE,44805,Bochum,Castroper Hellweg,49,McFIT Fitnessstudio
51.49891,7.25603,DE,44805,Bochum,Wiemannskamp,2, 
51.44616,7.37211,DE,58453,Witten,Annenstrasse,144,CAN Dönerhaus
51.45309,7.37621,DE,58453,Witten,Stockumer Strasse,48,Bibos pizzeria und mehr
51.45361,7.38067,DE,58454,Witten,Salinger Feld,53,Waldemar Klimek Dachdecker- und Klempnermeister
51.45374,7.38135,DE,58484,Witten,Salinger Feld,50,Vogt GmbH Kälte-klima-msr
51.45389,7.38186,DE,58454,Witten,Salinger Feld,48,KAMAT Werk II
51.45394,7.38212,DE,58454,Witten,Salinger Feld,46,CultCars Witten
51.45412,7.38262,DE,58454,Witten,Salinger Feld,44,OBLF Elektronik- und Feinwerktechnik GmbH
51.45421,7.38299,DE,58454,Witten,Salinger Feld,42,Club 83
51.45430,7.38329,DE,58454,Witten,Salinger Feld,42a,Auktionshaus Groben
51.45048,7.36567,DE,58453,Witten,Dortmunder Straße,99,ALDI Nord
51.45291,7.40161,DE,58454,Witten,Friedrich-Ebert-Straße,116,REWE Kesper & Rode OHG
51.45451,7.39326,DE,58454,Witten,Brauckstraße,20,BAUHAUS Witten
51.45276,7.38866,DE,58454,Witten,Fredi-Ostermann-Straße,1-3,OSTERMANN Einrichtungs-Centrum Witten
51.53834,7.22989,DE,44623,Herne,Mont-Cenis-Straße,26,Tango-Treffpunkt Herne
51.53812,7.22769,DE,44623,Herne,Mont-Cenis-Straße,17,Mykonos Grill
51.61284,7.19534,DE,45657,Recklinghausen,Brandstraße,11,Hobbold KG Pferdemetzgerei und Speisegaststätte
57.55891,9.91697,DK,9850,Hirtshals,Strandvejen,31,Kobmand Munch
57.58841,9.96018,DK,9850,Hirtshals,Jyllandsgade,4,KonditorBager Hirtshals
57.59007,9.96485,DK,9850,Hirtshals,Doggerbanke,1,ALDI
51.46178,7.34334,DE,44892,Bochum,Hörder Straße,148a,Selbstpflückfeld Hof Bockholt
51.49748,7.25802,DE,44805,Bochum,Castroper Hellweg,20,REWE Ihr Kaufpark
51.53609,7.44393,DE,44147,Dortmund,Westerholz,45,Gaststätte Schmiedingslust
51.49973,7.25826,DE,44805,Bochum,Castroper Hellweg,51,BAUHAUS Bochum Harpen
50.15148,8.68852,DE,60435,Frankfurt,Gießener Straße,22, 
53.54033,10.00504,DE,20457,Hamburg,Henning-Voscherau-Platz,1,HafenCity Universität Hamburg (HCU)
51.49393,7.46301,DE,44139,Dortmund,Remydamm, ,Parkplatz E2
51.47520,7.28707,DE,44803,Bochum,Ümminger See,6,CROSSTRAILS Bochum
54.47443,9.83984,DE,24340,Eckernförde,Schiffbrücke,10 (Hafenspitze),Stadtbäckerei Makoben
54.32427,10.13930,DE,24103,Kiel,Klosterkirchhof,2-6,Turm der Klosterkirche
54.42784,10.17121,DE,24159,Kiel,Soling,50,Hafen Kiosk Goldfisch Schilkseer Fischbrötchen
54.40555,10.21913,DE,24235,Laboe,Strandstraße,07,Dam Asia
54.40546,10.22090,DE,24235,Laboe,Probsteier Platz,1,Eiscafé Venezia
54.58345,10.02560,DE,24351,Damp,Seeuferweg,10,Dat Ship
54.58243,10.02217,DE,24351,Damp,Ladenzeile,1,EDEKA Henning
51.50701,7.19184,DE,44809,Bochum,Riemker Straße,11,Imbiss im Hanibal Center
51.51916,7.28095,DE,44805,Bochum,Lothringer Straße,32,REWE Kaeseler Eh oHG
51.51847,7.28125,DE,44805,Bochum,Amtmann-Ibing-Straße,9,ALDI Nord
51.51839,7.28225,DE,44805,Bochum,Amtmann-Ibing-Straße,7,Lidl
51.4804,7.1924,DE,44793,Bochum,Jütenstraße,1A,Drums Noir Schlagzeugunterricht
51.49406,7.25939,DE,44805,Bochum,Harpener Hellweg,9-11,Shell
51.44433,7.22138,DE,44799,Bochum,Markstraße,363,Rad&Tat-Hethey
51.45391,7.24763,DE,44803,Bochum,Markstraße,139,ALDI Nord
51.48993,7.50736,DE,44263,Dortmund,Am Kai,18,KUHBAR Dortmund Phoenixsee
51.22518,6.76989,DE,40213,Düsseldorf,Rheinufertunnel, ,CAFE BATO
51.73224,5.60445,NL,5374 PC,Schaijk,Palmstraat,7,Camping Maashorst
51.47461,7.38720,DE,44227,Dortmund,Universitätsstraße,600A,Anadolu GmbH - Fleisch Groß- und Einzelhandel Döner Produktion
51.45852,7.22465,DE,44799,Bochum,Königsallee,171,TheaterTotal
51.50601,7.19263,DE,44809,Bochum,Riemker Straße,13,C&A
51.49569,7.42474,DE,44227,Dortmund,Emil-Figge-Straße,43,TOP Tagungszentren AG|Dortmund
51.46970,7.29391,DE,44892,Bochum,Ümminger Straße,90,Kaufland Bochum-Langendreer
54.45521,10.19728,DE,24229,Strande,Leuchtfeuer Bülk,0,Leuchtturm Bülk
54.45525,10.19779,DE,24229,Strande,Leuchtfeuer Bülk,0,Leuchtturm Pavillon
54.48190,10.11953,DE,24229,Schwedeneck,Strandstraße,5,Parkplatz
54.40393,10.21889,DE,24235,Laboe,Hafenplatz,1,Fischküche Laboe
54.42764,10.13081,DE,24229,Dänischenhagen,Scharnhagener Straße,3-5,Markant-Markt Dänischenhagen
51.42045,6.89566,DE,45470,Mülheim an der Ruhr,Werdener Weg,29,ALDI SÜD
51.45643,7.35275,DE,58454,Witten,Liegnitzer Straße,7,Dehner Garten-Center
51.45771,7.44161,DE,44229,Dortmund,Löttringerhauser Straße,230,Edeka Aydin
51.18438,7.04286,DE,42719,Solingen,Friedrich-Ebert-Straße,124,Baran Grill
51.48288,7.21980,DE,44787,Bochum,Große Beckstraße,13,Burgerado
51.48267,7.26398,DE,44803,Bochum,Brelohstraße,70,USB Wertstoffhof
51.48661,7.04999,DE,45309,Essen,Kaldekirche,24, 
51.43818,7.33705,DE,58452,Witten,Ruhrstraße,20,Eiscafé Simonetti
51.58092,7.27667,DE,44579,Castrop-Rauxel,Pöppinghauser Straße,80,Hof zur Nieden
51.43580,7.43589,DE,44227,Dortmund,Schalkenbergsiepen,58, 
51.43620,7.43594,DE,44227,Dortmund,Schalkenbergsiepen,54, 
50.96315,14.07036,DE,01847,Lohmen,Bastei,1,Berghotel Bastei
51.33932,12.37258,DE,04109,Leipzig,Thomaskirchhof,18,Thomaskirche
48.31855,11.66161,DE,85375,Neufahrn bei Freising,Bahnhofstraße,39,SelamET Metzgerei
49.65709,8.99258,DE,64711,Erbach,Marktplatz,7,Schloß Erbach
